NAME,REVENUES,YEAR
MASSACHUSETTS MUTUAL LIFE INSURANCE,37788,2017
MARATHON PETROLEUM,55858,2017
OWENS & MINOR,9723,2017
CALPINE,6716,2017
CENTERPOINT ENERGY,7528,2017
ENTERPRISE PRODUCTS PARTNERS,23022,2017
EOG RESOURCES,7651,2017
KINDER MORGAN,13058,2017
PACIFIC LIFE,9169,2017
PLAINS GP HOLDINGS,20182,2017
TARGA RESOURCES,6691,2017
WASTE MANAGEMENT,13609,2017
BAKER HUGHES,9841,2017
GROUP 1 AUTOMOTIVE,10888,2017
HALLIBURTON,15887,2017
NATIONAL OILWELL VARCO,7251,2017
PHILLIPS 66,72396,2017
APACHE,5354,2017
QUANTA SERVICES,7651,2017
SYSCO,50367,2017
CONOCOPHILLIPS,24360,2017
CIGNA,39668,2017
STANLEY BLACK & DECKER,11407,2017
UNITED TECHNOLOGIES,57244,2017
HARTFORD FINANCIAL SERVICES GROUP,18300,2017
AETNA,63155,2017
UNITEDHEALTH GROUP,184840,2017
SUPERVALU,17529,2017
C.H. ROBINSON WORLDWIDE,13144,2017
XCEL ENERGY,11107,2017
U.S. BANCORP,22744,2017
TARGET,69495,2017
THRIVENT FINANCIAL FOR LUTHERANS,8777,2017
BEST BUY,39403,2017
GENERAL MILLS,16563,2017
MOSAIC,7163,2017
MARKEL,5612,2017
PERFORMANCE FOOD GROUP,16105,2017
ALTRIA GROUP,19337,2017
GENWORTH FINANCIAL,8369,2017
WELLCARE HEALTH PLANS,14237,2017
MERCK,39807,2017
LOWE'S,65017,2017
CMS ENERGY,6399,2017
LITHIA MOTORS,8678,2017
REGIONS FINANCIAL,5967,2017
HUMANA,54379,2017
KINDRED HEALTHCARE,7227,2017
YUM BRANDS,6366,2017
SEABOARD,5379,2017
STRYKER,11325,2017
WEYERHAEUSER,7902,2017
EXPEDIA,8774,2017
PACCAR,17033,2017
COSTCO,118719,2017
MICROSOFT,85320,2017
NORDSTROM,14757,2017
EXPEDITORS INTERNATIONAL OF WASHINGTON,6098,2017
AMAZON.COM,135987,2017
STARBUCKS,21316,2017
ALASKA AIR GROUP,5931,2017
ABM INDUSTRIES,5145,2017
ZIMMER BIOMET HOLDINGS,7684,2017
HORMEL FOODS,9523,2017
BAXTER INTERNATIONAL,10163,2017
DISCOVER FINANCIAL SERVICES,10497,2017
ESSENDANT,5369,2017
MONDELEZ INTERNATIONAL,25923,2017
WALGREENS BOOTS ALLIANCE,117351,2017
PACKAGING CORP. OF AMERICA,5779,2017
TENNECO,8599,2017
W.W. GRAINGER,10137,2017
CDW,13982,2017
HERTZ GLOBAL HOLDINGS,9480,2017
PPL,7517,2017
AIR PRODUCTS & CHEMICALS,9524,2017
ROCKWELL COLLINS,5259,2017
ABBOTT LABORATORIES,20853,2017
FARMERS INSURANCE EXCHANGE,12513,2017
OCCIDENTAL PETROLEUM,10398,2017
AECOM,17411,2017
CBRE GROUP,13072,2017
RELIANCE STEEL & ALUMINUM,8613,2017
LIVE NATION ENTERTAINMENT,8355,2017
MATTEL,5457,2017
ACTIVISION BLIZZARD,6608,2017
MOLINA HEALTHCARE,17782,2017
JACOBS ENGINEERING GROUP,10964,2017
AVERY DENNISON,6087,2017
