,date,datatype,value,county_fips
99,2016-01-25T00:00:00,TMIN,-1.65,01073
100,2016-01-26T00:00:00,PRCP,4.268750000000001,01073
101,2016-01-26T00:00:00,TAVG,12.4,01073
102,2016-01-26T00:00:00,TMAX,13.3,01073
103,2016-01-26T00:00:00,TMIN,6.4,01073
104,2016-01-27T00:00:00,PRCP,20.506666666666668,01073
105,2016-01-27T00:00:00,TAVG,6.0,01073
106,2016-01-27T00:00:00,TMAX,9.7,01073
107,2016-01-27T00:00:00,TMIN,1.4000000000000001,01073
108,2016-01-28T00:00:00,PRCP,0.04285714285714286,01073
109,2016-01-28T00:00:00,TAVG,5.1,01073
110,2016-01-28T00:00:00,TMAX,13.9,01073
111,2016-01-28T00:00:00,TMIN,-1.05,01073
112,2016-01-29T00:00:00,PRCP,0.02142857142857143,01073
113,2016-01-29T00:00:00,TAVG,7.7,01073
114,2016-01-29T00:00:00,TMAX,15.85,01073
115,2016-01-29T00:00:00,TMIN,1.4,01073
116,2016-01-30T00:00:00,PRCP,0.0,01073
117,2016-01-30T00:00:00,TAVG,10.2,01073
118,2016-01-30T00:00:00,TMAX,20.0,01073
119,2016-01-30T00:00:00,TMIN,1.1,01073
120,2016-01-31T00:00:00,PRCP,0.0,01073
121,2016-01-31T00:00:00,TAVG,16.2,01073
122,2016-01-31T00:00:00,TMAX,21.95,01073
123,2016-01-31T00:00:00,TMIN,11.149999999999999,01073
124,2016-02-01T00:00:00,PRCP,0.0,01073
125,2016-02-01T00:00:00,TAVG,18.8,01073
126,2016-02-01T00:00:00,TMAX,23.6,01073
127,2016-02-01T00:00:00,TMIN,13.6,01073
128,2016-02-02T00:00:00,PRCP,9.566666666666666,01073
129,2016-02-02T00:00:00,TAVG,19.3,01073
130,2016-02-02T00:00:00,TMAX,25.0,01073
131,2016-02-02T00:00:00,TMIN,14.7,01073
132,2016-02-03T00:00:00,PRCP,63.862500000000004,01073
133,2016-02-03T00:00:00,TAVG,16.1,01073
134,2016-02-03T00:00:00,TMAX,20.6,01073
135,2016-02-03T00:00:00,TMIN,6.949999999999999,01073
136,2016-02-04T00:00:00,PRCP,0.06666666666666667,01073
137,2016-02-04T00:00:00,TAVG,6.5,01073
138,2016-02-04T00:00:00,TMAX,10.3,01073
139,2016-02-04T00:00:00,TMIN,0.8500000000000001,01073
140,2016-02-05T00:00:00,PRCP,0.0,01073
141,2016-02-05T00:00:00,TAVG,4.1,01073
142,2016-02-05T00:00:00,TMAX,10.6,01073
143,2016-02-05T00:00:00,TMIN,-2.7,01073
144,2016-02-06T00:00:00,PRCP,0.0,01073
145,2016-02-06T00:00:00,TAVG,4.2,01073
146,2016-02-06T00:00:00,TMAX,10.85,01073
147,2016-02-06T00:00:00,TMIN,-1.9,01073
148,2016-02-07T00:00:00,PRCP,0.0,01073
149,2016-02-07T00:00:00,TAVG,4.7,01073
150,2016-02-07T00:00:00,TMAX,14.15,01073
151,2016-02-07T00:00:00,TMIN,-3.0,01073
152,2016-02-08T00:00:00,PRCP,0.0,01073
153,2016-02-08T00:00:00,TAVG,7.3,01073
154,2016-02-08T00:00:00,TMAX,10.85,01073
155,2016-02-08T00:00:00,TMIN,2.5,01073
156,2016-02-09T00:00:00,PRCP,0.0,01073
157,2016-02-09T00:00:00,TAVG,2.6,01073
158,2016-02-09T00:00:00,TMAX,5.25,01073
159,2016-02-09T00:00:00,TMIN,-2.45,01073
160,2016-02-10T00:00:00,PRCP,0.0,01073
161,2016-02-10T00:00:00,TAVG,-0.6,01073
162,2016-02-10T00:00:00,TMAX,5.85,01073
163,2016-02-10T00:00:00,TMIN,-6.35,01073
164,2016-02-11T00:00:00,PRCP,0.0,01073
165,2016-02-11T00:00:00,TAVG,5.1,01073
166,2016-02-11T00:00:00,TMAX,16.95,01073
167,2016-02-11T00:00:00,TMIN,-2.2,01073
168,2016-02-12T00:00:00,PRCP,0.0,01073
169,2016-02-12T00:00:00,TAVG,9.4,01073
170,2016-02-12T00:00:00,TMAX,17.8,01073
171,2016-02-12T00:00:00,TMIN,2.8,01073
172,2016-02-13T00:00:00,PRCP,0.0,01073
173,2016-02-13T00:00:00,TAVG,3.6,01073
174,2016-02-13T00:00:00,TMAX,6.95,01073
175,2016-02-13T00:00:00,TMIN,-1.6,01073
176,2016-02-14T00:00:00,PRCP,0.0,01073
177,2016-02-14T00:00:00,TAVG,3.0,01073
178,2016-02-14T00:00:00,TMAX,14.15,01073
179,2016-02-14T00:00:00,TMIN,-2.45,01073
180,2016-02-15T00:00:00,PRCP,8.04,01073
181,2016-02-15T00:00:00,TAVG,10.7,01073
182,2016-02-15T00:00:00,TMAX,14.15,01073
183,2016-02-15T00:00:00,TMIN,6.65,01073
184,2016-02-16T00:00:00,PRCP,28.89333333333333,01073
185,2016-02-16T00:00:00,TAVG,10.5,01073
186,2016-02-16T00:00:00,TMAX,16.65,01073
187,2016-02-16T00:00:00,TMIN,5.3,01073
188,2016-02-17T00:00:00,PRCP,0.6214285714285713,01073
189,2016-02-17T00:00:00,TAVG,8.3,01073
190,2016-02-17T00:00:00,TMAX,13.600000000000001,01073
191,2016-02-17T00:00:00,TMIN,3.85,01073
192,2016-02-18T00:00:00,PRCP,0.0,01073
193,2016-02-18T00:00:00,TAVG,8.8,01073
194,2016-02-18T00:00:00,TMAX,18.85,01073
195,2016-02-18T00:00:00,TMIN,1.1,01073
196,2016-02-19T00:00:00,PRCP,0.0,01073
197,2016-02-19T00:00:00,TAVG,14.2,01073
198,2016-02-19T00:00:00,TMAX,21.4,01073
199,2016-02-19T00:00:00,TMIN,7.25,01073
200,2016-02-20T00:00:00,PRCP,0.0,01073
201,2016-02-20T00:00:00,TMAX,19.4,01073
202,2016-02-20T00:00:00,TMIN,13.3,01073
203,2016-01-01T00:00:00,PRCP,0.0,04013
204,2016-01-01T00:00:00,TAVG,9.8,04013
205,2016-01-01T00:00:00,TMAX,17.307692307692307,04013
206,2016-01-01T00:00:00,TMIN,0.3923076923076923,04013
207,2016-01-02T00:00:00,PRCP,0.0,04013
208,2016-01-02T00:00:00,TAVG,13.8,04013
209,2016-01-02T00:00:00,TMAX,19.49285714285714,04013
210,2016-01-02T00:00:00,TMIN,4.5928571428571425,04013
211,2016-01-03T00:00:00,PRCP,0.0,04013
212,2016-01-03T00:00:00,TAVG,15.4,04013
213,2016-01-03T00:00:00,TMAX,20.364285714285717,04013
214,2016-01-03T00:00:00,TMIN,6.871428571428572,04013
215,2016-01-04T00:00:00,PRCP,0.8530769230769231,04013
216,2016-01-04T00:00:00,TAVG,15.7,04013
217,2016-01-04T00:00:00,TMAX,17.42142857142857,04013
218,2016-01-04T00:00:00,TMIN,9.013333333333332,04013
219,2016-01-05T00:00:00,PRCP,8.976543209876544,04013
220,2016-01-05T00:00:00,TAVG,12.3,04013
221,2016-01-05T00:00:00,TMAX,13.2375,04013
222,2016-01-05T00:00:00,TMIN,8.925,04013
223,2016-01-06T00:00:00,PRCP,17.12125,04013
224,2016-01-06T00:00:00,TAVG,12.8,04013
225,2016-01-06T00:00:00,TMAX,13.623529411764705,04013
226,2016-01-06T00:00:00,TMIN,7.9411764705882355,04013
227,2016-01-07T00:00:00,PRCP,6.304166666666667,04013
228,2016-01-01T00:00:00,PRCP,0.0,05007
229,2016-01-01T00:00:00,TMAX,5.85,05007
230,2016-01-01T00:00:00,TMIN,-5.800000000000001,05007
231,2016-01-02T00:00:00,PRCP,0.0,05007
